id,eventType,milestoneId,milestoneValue,title,rewardDesc,reward1,reward2,reward3,reward4
1,21,1,518400,Mức tiêu hao time 6 days,Thẻ 1 giờ x 7,"[[100,132,7,0]]","[[100,132,8,0]]","[[100,132,7,0]]","[[100,132,8,0]]"
2,21,2,1036800,Mức tiêu hao time 12 days,"Thẻ 1 giờ x 14, Huy hiệu Tài Năng cao cấp x1","[[100,132,14,0],[100,37,1,0]]","[[100,132,14,0],[100,37,2,0]]","[[100,132,14,0],[100,37,1,0]]","[[100,132,14,0],[100,37,2,0]]"
3,21,3,2073600,Mức tiêu hao time 24 days,"Thẻ 1 ngày x 1, Thẻ 1 giờ x 4","[[100,128,1,0],[100,132,4,0]]","[[100,128,1,0],[100,132,5,0]]","[[100,128,1,0],[100,132,4,0]]","[[100,128,1,0],[100,132,5,0]]"
4,21,4,5184000,Mức tiêu hao time 60 days,"Thẻ 1 ngày x 3, Huy hiệu Tài Năng cao cấp x2","[[100,128,3,0],[100,37,2,0]]","[[100,128,3,0],[100,37,3,0]]","[[100,128,3,0],[100,37,2,0]]","[[100,128,3,0],[100,37,3,0]]"
5,21,5,10368000,Mức tiêu hao time 120 days,"Thẻ 1 ngày x 6, Huy hiệu Tài Năng siêu sao x1","[[100,128,6,0],[100,38,1,0]]","[[100,128,6,0],[100,38,2,0]]","[[100,128,6,0],[100,38,1,0]]","[[100,128,6,0],[100,38,2,0]]"
6,21,6,20736000,Mức tiêu hao time 240 days,"Thẻ 1 ngày x 12, Huy hiệu Tài Năng siêu sao x2","[[100,128,12,0],[100,38,2,0]]","[[100,128,12,0],[100,38,3,0]]","[[100,128,12,0],[100,38,2,0]]","[[100,128,12,0],[100,38,3,0]]"
7,21,7,41472000,Mức tiêu hao time 480 days,"Thẻ 1 ngày x 24,Đĩa Vàng DVD x1","[[100,128,24,0],[100,25,1,0]]","[[100,128,24,0],[100,25,2,0]]","[[100,128,24,0],[100,25,1,0]]","[[100,128,24,0],[100,25,2,0]]"
8,21,8,62208000,Mức tiêu hao time 720 days,"Thẻ 1 ngày x 36, Tập sách đặc cấp x1","[[100,128,36,0],[100,60,1,0]]","[[100,128,36,0],[100,60,2,0]]","[[100,128,36,0],[100,60,1,0]]","[[100,128,36,0],[100,60,2,0]]"
9,21,9,103680000,Mức tiêu hao time 1200 days,"Thẻ 10 ngày x 6, Hộp Galaxy bách bảo x4","[[100,130,6,0],[100,100,4,0]]","[[100,130,6,0],[100,100,5,0]]","[[100,130,6,0],[100,100,4,0]]","[[100,130,6,0],[100,100,5,0]]"
10,21,10,207360000,Mức tiêu hao time 2400 days,"Thẻ 10 ngày x 12, Túi đạo cụ siêu sao x4","[[100,130,12,0],[100,107,4,0]]","[[100,130,12,0],[100,107,5,0]]","[[100,130,12,0],[100,107,4,0]]","[[100,130,12,0],[100,107,5,0]]"
11,6700,1,1,Tiêu hao sách cường hóa 1,Cỏ may mắn x1,"[[100,64,1,0]]","[[100,64,2,0]]","[[100,64,1,0]]","[[100,64,2,0]]"
