id,chapter,level,smallLevel,aptNPC,fanNPC,reward
1,1,1,1,160,800,"[102,18,0,0]"
2,1,1,2,162,808,"[102,18,0,0]"
3,1,1,3,166,816,"[102,18,0,0]"
4,1,1,4,168,824,"[102,18,0,0]"
5,1,1,5,172,832,"[102,18,0,0]"
6,1,1,6,178,848,"[102,18,0,0]"
7,1,1,7,182,864,"[102,18,0,0]"
8,1,1,8,188,880,"[102,19,0,0]"
9,1,2,1,202,1000,"[102,18,0,0]"
10,1,2,2,206,1010,"[102,18,0,0]"
11,1,2,3,210,1020,"[102,18,0,0]"
12,1,2,4,214,1030,"[102,18,0,0]"
13,1,2,5,218,1040,"[102,18,0,0]"
14,1,2,6,224,1060,"[102,18,0,0]"
15,1,2,7,230,1080,"[102,18,0,0]"
16,1,2,8,236,1100,"[102,19,0,0]"
17,1,3,1,262,1300,"[102,18,0,0]"
18,1,3,2,266,1313,"[102,18,0,0]"
19,1,3,3,272,1326,"[102,18,0,0]"
20,1,3,4,276,1339,"[102,18,0,0]"
21,1,3,5,282,1352,"[102,18,0,0]"
22,1,3,6,290,1378,"[102,18,0,0]"
23,1,3,7,298,1404,"[102,18,0,0]"
24,1,3,8,308,1430,"[102,19,0,0]"
25,1,4,1,322,1600,"[102,18,0,0]"
26,1,4,2,328,1616,"[102,18,0,0]"
27,1,4,3,334,1632,"[102,18,0,0]"
28,1,4,4,340,1648,"[102,18,0,0]"
29,1,4,5,348,1664,"[102,18,0,0]"
30,1,4,6,358,1696,"[102,18,0,0]"
31,1,4,7,368,1728,"[102,18,0,0]"
32,1,4,8,378,1760,"[102,19,0,0]"
33,1,5,1,404,2000,"[102,18,0,0]"
34,1,5,2,412,2020,"[102,18,0,0]"
35,1,5,3,420,2040,"[102,18,0,0]"
36,1,5,4,428,2060,"[102,18,0,0]"
37,1,5,5,436,2080,"[102,18,0,0]"
38,1,5,6,448,2120,"[102,18,0,0]"
39,1,5,7,462,2160,"[102,18,0,0]"
40,1,5,8,474,2200,"[102,19,0,0]"
41,1,6,1,0,0,[]
42,2,1,1,504,2500,"[102,18,0,0]"
43,2,1,2,514,2525,"[102,18,0,0]"
44,2,1,3,524,2550,"[102,18,0,0]"
45,2,1,4,534,2575,"[102,18,0,0]"
46,2,1,5,544,2600,"[102,18,0,0]"
47,2,1,6,560,2650,"[102,18,0,0]"
48,2,1,7,576,2700,"[102,18,0,0]"
49,2,1,8,592,2750,"[102,19,0,0]"
50,2,2,1,606,3000,"[102,18,0,0]"
51,2,2,2,618,3030,"[102,18,0,0]"
52,2,2,3,630,3060,"[102,18,0,0]"
53,2,2,4,642,3090,"[102,18,0,0]"
54,2,2,5,654,3120,"[102,18,0,0]"
55,2,2,6,674,3180,"[102,18,0,0]"
56,2,2,7,692,3240,"[102,18,0,0]"
57,2,2,8,712,3300,"[102,19,0,0]"
58,2,3,1,706,3500,"[102,18,0,0]"
59,2,3,2,720,3535,"[102,18,0,0]"
60,2,3,3,734,3570,"[102,18,0,0]"
61,2,3,4,748,3605,"[102,18,0,0]"
62,2,3,5,762,3640,"[102,18,0,0]"
63,2,3,6,784,3710,"[102,18,0,0]"
64,2,3,7,806,3780,"[102,18,0,0]"
65,2,3,8,830,3850,"[102,19,0,0]"
66,2,4,1,808,4000,"[102,18,0,0]"
67,2,4,2,824,4040,"[102,18,0,0]"
68,2,4,3,840,4080,"[102,18,0,0]"
69,2,4,4,856,4120,"[102,18,0,0]"
70,2,4,5,872,4160,"[102,18,0,0]"
