id,specialityID,level_200,level_300,level_350,level_400,level_500
1,2,300,450,600,900,1500
2,2,600,900,1200,1800,3000
3,2,200,300,400,600,1000
4,2,200,300,400,600,1000
5,2,400,600,800,1200,2000
6,2,700,1050,1400,2100,3500
7,2,300,450,600,900,1500
8,2,200,300,400,600,1000
9,2,500,750,1000,1500,2500
10,2,800,1200,1600,2400,4000
11,2,300,450,600,900,1500
12,2,300,450,600,900,1500
13,2,500,750,1000,1500,2500
14,2,900,1350,1800,2700,4500
15,2,300,450,600,900,1500
16,2,300,450,600,900,1500
17,2,500,750,1000,1500,2500
18,2,800,1200,1600,2400,4000
19,2,400,600,800,1200,2000
20,2,400,600,800,1200,2000
21,2,600,900,1200,1800,3000
22,2,1000,1500,2000,3000,5000
23,2,400,600,800,1200,2000
24,2,400,600,800,1200,2000
25,2,700,1050,1400,2100,3500
26,2,1200,1800,2400,3600,6000
27,2,400,600,800,1200,2000
28,2,500,750,1000,1500,2500
29,2,800,1200,1600,2400,4000
30,2,900,1350,1800,2700,4500
31,2,500,750,1000,1500,2500
32,2,1700,2550,3400,5100,8500
33,2,500,750,1000,1500,2500
34,2,1200,1800,2400,3600,6000
35,2,700,1050,1400,2100,3500
36,2,3200,4800,6400,9600,16000
37,2,1000,1500,2000,3000,5000
38,2,2500,3750,5000,7500,12500
39,2,1200,1800,2400,3600,6000
40,2,8000,12000,16000,24000,40000
41,2,1800,2700,3600,5400,9000
42,2,5000,7500,10000,15000,25000
43,2,100,150,200,300,500
44,2,500,750,1000,1500,2500
45,2,200,300,400,600,1000
46,2,400,600,800,1200,2000
47,2,400,600,800,1200,2000
48,2,600,900,1200,1800,3000
49,2,700,1050,1400,2100,3500
50,2,600,900,1200,1800,3000
51,2,700,1050,1400,2100,3500
52,2,700,1050,1400,2100,3500
53,2,800,1200,1600,2400,4000
54,2,900,1350,1800,2250,2700
55,2,1500,2250,3000,3750,4500
56,2,1500,2250,3000,3750,4500
57,2,1500,2250,3000,3750,4500
58,2,1500,2250,3000,3750,4500
59,2,1500,2250,3000,3750,4500
60,2,200,300,400,500,600
61,2,500,750,1000,1250,1500
62,2,100,150,200,250,300
63,2,600,900,1200,1500,1800
64,2,300,450,600,750,900
1,3,300,450,600,900,1500
2,3,200,300,400,600,1000
3,3,600,900,1200,1800,3000
4,3,200,300,400,600,1000
5,3,400,600,800,1200,2000
6,3,300,450,600,900,1500
